Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
68866761,2026-05-02 17:25:53,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,,Street,11234,2239 TROY AVENUE,TROY AVENUE,BAUGHMAN PLACE,FLATBUSH AVENUE,BAUGHMAN PLACE,FLATBUSH AVENUE,ADDRESS,BROOKLYN,TROY AVENUE,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,3078690011.0,BROOKLYN,"1,002,921","164,932",UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.619357024,-73.93274528051,POINT (-73.932745280512 40.619357024002)
68860677,2026-05-02 10:40:38,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,898 EAST 58 STREET,EAST 58 STREET,AVENUE H,AVENUE I,AVENUE H,AVENUE I,ADDRESS,BROOKLYN,EAST 58 STREET,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,3077610050.0,BROOKLYN,"1,006,278","169,841",PHONE,Unspecified,BROOKLYN,,,,,,,,40.6328234825,-73.92063703255,POINT (-73.920637032552 40.632823482502)
68856781,2026-05-01 17:47:17,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Other Types of Wires,Street,11234,1829 EAST 32 STREET,EAST 32 STREET,AVENUE R,FILLMORE AVENUE,AVENUE R,FILLMORE AVENUE,ADDRESS,BROOKLYN,EAST 32 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3084760028.0,BROOKLYN,"1,001,680","161,735",ONLINE,Unspecified,BROOKLYN,,,,,,,,40.61058445056,-73.9372237319,POINT (-73.9372237319 40.610584450559)
68856783,2026-05-01 15:42:28,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,EAST 59 STREET,EAST 59 STREET,EAST 59 STREET,FOSTER AVENUE,EAST 59 STREET,FOSTER AVENUE,INTERSECTION,,,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,,BROOKLYN,"1,006,335","172,317",PHONE,Unspecified,BROOKLYN,,,,,,,,40.6396194306,-73.92042356802,POINT (-73.920423568023 40.639619430605)
68848271,2026-05-01 13:08:16,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,2224 EAST 66 STREET,EAST 66 STREET,STRICKLAND AVENUE,OHIO WALK,STRICKLAND AVENUE,OHIO WALK,ADDRESS,BROOKLYN,EAST 66 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3086320008.0,BROOKLYN,"1,009,649","163,405",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61514899499,-73.90851614374,POINT (-73.908516143738 40.615148994988)
68835666,2026-04-30 19:30:52,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Dead Branches in Tree,,Street,11234,1760 HENDRICKSON STREET,HENDRICKSON STREET,QUENTIN ROAD,AVENUE R,QUENTIN ROAD,AVENUE R,ADDRESS,BROOKLYN,HENDRICKSON STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078880069.0,BROOKLYN,"1,003,283","163,886",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61648520174,-73.93144427134,POINT (-73.931444271342 40.616485201741)
68838536,2026-04-30 16:14:21,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Power Lines,Power Lines,Street,11234,1551 EAST 53 STREET,EAST 53 STREET,AVENUE M,AVENUE N,AVENUE M,AVENUE N,ADDRESS,BROOKLYN,EAST 53 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3078780030.0,BROOKLYN,"1,005,316","165,376",PHONE,Unspecified,BROOKLYN,,,,,,,,40.62057034025,-73.92411688112,POINT (-73.924116881121 40.620570340252)
68824907,2026-04-29 09:52:38,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,1787 EAST 32 STREET,EAST 32 STREET,QUENTIN ROAD,AVENUE R,QUENTIN ROAD,AVENUE R,ADDRESS,BROOKLYN,EAST 32 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,,BROOKLYN,"1,001,470","161,982",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61126282519,-73.93797944237,POINT (-73.937979442371 40.611262825195)
68817827,2026-04-28 21:59:17,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Building,,Street,11234,1601 EAST 34 STREET,EAST 34 STREET,AVENUE N,AVENUE P,AVENUE N,AVENUE P,ADDRESS,BROOKLYN,EAST 34 STREET,,In Progress,,,,18 BROOKLYN,45.0,Precinct 63,3076960021.0,BROOKLYN,"1,000,648","163,750",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61611717853,-73.94093571108,POINT (-73.940935711077 40.616117178527)
68816598,2026-04-28 15:49:47,,DPR,Department of Parks and Recreation,Overgrown Tree/Branches,Hitting Phone/Cable Lines,Telephone Lines,Street,11234,1447 EAST 65 STREET,EAST 65 STREET,VETERANS AVENUE,AVENUE T,VETERANS AVENUE,AVENUE T,ADDRESS,BROOKLYN,EAST 65 STREET,,In Progress,,,,18 BROOKLYN,46.0,Precinct 63,3083870018.0,BROOKLYN,"1,007,958","164,983",PHONE,Unspecified,BROOKLYN,,,,,,,,40.61948496166,-73.91460135817,POINT (-73.914601358166 40.619484961663)
