Zip Code,Neighborhood,Borough,Total Complaints,Blocking Street,Clear Street Light,Dead Branches in Tree,Hitting Building,Hitting Power Line,Traffic Sign or Signal Blocked
10463,Kingsbridge-Riverdale,The Bronx,323,69,20,52,97,66,19
10471,Kingsbridge-Riverdale,The Bronx,285,42,7,54,70,94,18
10466,Northeast Bronx,The Bronx,1180,164,40,86,476,384,30
10469,Northeast Bronx,The Bronx,1439,264,42,132,470,502,29
10470,Northeast Bronx,The Bronx,319,39,8,37,136,89,10
10475,Northeast Bronx,The Bronx,89,24,5,12,15,19,14
10458,Fordham-Bronx Park,The Bronx,241,44,5,24,120,38,10
10467,Fordham-Bronx Park,The Bronx,657,89,29,41,269,202,27
10468,Fordham-Bronx Park,The Bronx,174,45,16,15,69,22,7
10461,Pelham-Throgs Neck,The Bronx,923,192,22,95,337,260,17
10462,Pelham-Throgs Neck,The Bronx,594,114,20,47,267,140,6
10464,Pelham-Throgs Neck,The Bronx,212,43,5,32,57,68,7
10465,Pelham-Throgs Neck,The Bronx,1055,190,37,121,247,429,31
10472,Pelham-Throgs Neck,The Bronx,498,95,35,46,241,62,19
10473,Pelham-Throgs Neck,The Bronx,468,105,13,49,133,154,14
10453,Crotona-Tremont,The Bronx,233,53,16,26,112,18,8
10457,Crotona-Tremont,The Bronx,231,56,20,23,101,27,4
10460,Crotona-Tremont,The Bronx,317,53,15,24,164,44,17
10451,High Bridge-Morrisania,The Bronx,140,30,14,13,67,7,9
10452,High Bridge-Morrisania,The Bronx,120,26,12,14,45,14,9
10456,High Bridge-Morrisania,The Bronx,247,47,15,24,127,23,11
10454,Hunts Point-Mott Haven,The Bronx,134,30,14,10,61,13,6
10455,Hunts Point-Mott Haven,The Bronx,158,42,13,10,59,33,1
10459,Hunts Point-Mott Haven,The Bronx,214,54,17,19,71,44,9
10474,Hunts Point-Mott Haven,The Bronx,35,12,1,2,14,4,2
11211,Greenpoint,Brooklyn,688,123,25,101,390,32,17
11222,Greenpoint,Brooklyn,985,154,43,110,548,106,24
11201,Brooklyn Heights-Park Slope,Brooklyn,395,75,12,132,157,6,13
