Zip Code,Neighborhood,Borough,Total Complaints,Blocking sign,Dead branches,Hitting power line,Hitting street light,Hitting building,Blocking street
10463,Kingsbridge-Riverdale,The Bronx,,,,,,,
10471,Kingsbridge-Riverdale,The Bronx,,,,,,,
10466,Northeast Bronx,The Bronx,,,,,,,
10469,Northeast Bronx,The Bronx,,,,,,,
10470,Northeast Bronx,The Bronx,,,,,,,
10475,Northeast Bronx,The Bronx,,,,,,,
10458,Fordham-Bronx Park,The Bronx,,,,,,,
10467,Fordham-Bronx Park,The Bronx,,,,,,,
10468,Fordham-Bronx Park,The Bronx,,,,,,,
10461,Pelham-Throgs Neck,The Bronx,,,,,,,
10462,Pelham-Throgs Neck,The Bronx,,,,,,,
10464,Pelham-Throgs Neck,The Bronx,,,,,,,
10465,Pelham-Throgs Neck,The Bronx,,,,,,,
10472,Pelham-Throgs Neck,The Bronx,,,,,,,
10473,Pelham-Throgs Neck,The Bronx,,,,,,,
10453,Crotona-Tremont,The Bronx,,,,,,,
10457,Crotona-Tremont,The Bronx,,,,,,,
10460,Crotona-Tremont,The Bronx,,,,,,,
10451,High Bridge-Morrisania,The Bronx,,,,,,,
10452,High Bridge-Morrisania,The Bronx,,,,,,,
10456,High Bridge-Morrisania,The Bronx,,,,,,,
10454,Hunts Point-Mott Haven,The Bronx,,,,,,,
10455,Hunts Point-Mott Haven,The Bronx,,,,,,,
10459,Hunts Point-Mott Haven,The Bronx,,,,,,,
10474,Hunts Point-Mott Haven,The Bronx,,,,,,,
11211,Greenpoint,Brooklyn,,,,,,,
11222,Greenpoint,Brooklyn,,,,,,,
11201,Brooklyn Heights-Park Slope,Brooklyn,,,,,,,
11205,Brooklyn Heights-Park Slope,Brooklyn,,,,,,,
11215,Brooklyn Heights-Park Slope,Brooklyn,,,,,,,
11217,Brooklyn Heights-Park Slope,Brooklyn,,,,,,,
11231,Brooklyn Heights-Park Slope,Brooklyn,,,,,,,
11213,Bedford Stuyvesant-Crown Heights,Brooklyn,,,,,,,
11212,Bedford Stuyvesant-Crown Heights,Brooklyn,,,,,,,
11216,Bedford Stuyvesant-Crown Heights,Brooklyn,,,,,,,
11233,Bedford Stuyvesant-Crown Heights,Brooklyn,,,,,,,
11238,Bedford Stuyvesant-Crown Heights,Brooklyn,,,,,,,
11207,East New York,Brooklyn,,,,,,,
11208,East New York,Brooklyn,,,,,,,
11220,Sunset Park,Brooklyn,,,,,,,
11232,Sunset Park,Brooklyn,,,,,,,
11204,Borough Park,Brooklyn,,,,,,,
11218,Borough Park,Brooklyn,,,,,,,
11219,Borough Park,Brooklyn,,,,,,,
11230,Borough Park,Brooklyn,,,,,,,
11203,Flatbush,Brooklyn,,,,,,,
11210,Flatbush,Brooklyn,,,,,,,
11225,Flatbush,Brooklyn,,,,,,,
11226,Flatbush,Brooklyn,,,,,,,
11234,Marine Park-Mill Basin,Brooklyn,,,,,,,
11236,Canarsie-Flatlands,Brooklyn,,,,,,,
11239,Canarsie-Flatlands,Brooklyn,,,,,,,
11209,Bensonhurst-Bay Ridge,Brooklyn,,,,,,,
11214,Bensonhurst-Bay Ridge,Brooklyn,,,,,,,
11228,Bensonhurst-Bay Ridge,Brooklyn,,,,,,,
11223,Coney Island-Sheepshead Bay,Brooklyn,,,,,,,
11224,Coney Island-Sheepshead Bay,Brooklyn,,,,,,,
11229,Coney Island-Sheepshead Bay,Brooklyn,,,,,,,
11235,Coney Island-Sheepshead Bay,Brooklyn,,,,,,,
11206,Williamsburg-Bushwick,Brooklyn,,,,,,,
11221,Williamsburg-Bushwick,Brooklyn,,,,,,,
11237,Williamsburg-Bushwick,Brooklyn,,,,,,,
10031,Washington Heights,Manhattan,,,,,,,
10032,Washington Heights,Manhattan,,,,,,,
10033,Washington Heights,Manhattan,,,,,,,
10034,Washington Heights,Manhattan,,,,,,,
10040,Washington Heights,Manhattan,,,,,,,
10026,Morningside Heights-Central Harlem,Manhattan,,,,,,,
10027,Morningside Heights-Central Harlem,Manhattan,,,,,,,
10030,Morningside Heights-Central Harlem,Manhattan,,,,,,,
10037,Morningside Heights-Central Harlem,Manhattan,,,,,,,
10039,Morningside Heights-Central Harlem,Manhattan,,,,,,,
10029,East Harlem,Manhattan,,,,,,,
10035,East Harlem,Manhattan,,,,,,,
10023,Upper West Side,Manhattan,,,,,,,
10024,Upper West Side,Manhattan,,,,,,,
10025,Upper West Side,Manhattan,,,,,,,
10021,Upper East Side ,Manhattan,,,,,,,
10028,Upper East Side ,Manhattan,,,,,,,
10044,Upper East Side ,Manhattan,,,,,,,
10128,Upper East Side ,Manhattan,,,,,,,
10001,Chelsea,Manhattan,,,,,,,
10011,Chelsea,Manhattan,,,,,,,
10018,Chelsea,Manhattan,,,,,,,
10019,Chelsea,Manhattan,,,,,,,
10020,Chelsea,Manhattan,,,,,,,
10036,Chelsea,Manhattan,,,,,,,
10010,Gramercy Hill-Murray Hill,Manhattan,,,,,,,
10016,Gramercy Hill-Murray Hill,Manhattan,,,,,,,
10017,Gramercy Hill-Murray Hill,Manhattan,,,,,,,
10022,Gramercy Hill-Murray Hill,Manhattan,,,,,,,
10012,Greenwich Village-SoHo,Manhattan,,,,,,,
10013,Greenwich Village-SoHo,Manhattan,,,,,,,
10014,Greenwich Village-SoHo,Manhattan,,,,,,,
10002,Lower East Side,Manhattan,,,,,,,
10003,Lower East Side,Manhattan,,,,,,,
10009,Lower East Side,Manhattan,,,,,,,
10004,Lower Manhattan,Manhattan,,,,,,,
10005,Lower Manhattan,Manhattan,,,,,,,
10006,Lower Manhattan,Manhattan,,,,,,,
10007,Lower Manhattan,Manhattan,,,,,,,
10038,Lower Manhattan,Manhattan,,,,,,,
10280,Lower Manhattan,Manhattan,,,,,,,
11101,Astoria-Long Island City,Queens,,,,,,,
11102,Astoria-Long Island City,Queens,,,,,,,
11103,Astoria-Long Island City,Queens,,,,,,,
11104,Astoria-Long Island City,Queens,,,,,,,
11105,Astoria-Long Island City,Queens,,,,,,,
11106,Astoria-Long Island City,Queens,,,,,,,
11368,West Queens,Queens,,,,,,,
11369,West Queens,Queens,,,,,,,
11370,West Queens,Queens,,,,,,,
11372,West Queens,Queens,,,,,,,
11373,West Queens,Queens,,,,,,,
11377,West Queens,Queens,,,,,,,
11378,West Queens,Queens,,,,,,,
11354,Flushing-Clearview,Queens,,,,,,,
11355,Flushing-Clearview,Queens,,,,,,,
11356,Flushing-Clearview,Queens,,,,,,,
11357,Flushing-Clearview,Queens,,,,,,,
11358,Flushing-Clearview,Queens,,,,,,,
11359,Flushing-Clearview,Queens,,,,,,,
11360,Flushing-Clearview,Queens,,,,,,,
11361,Bayside-Little Neck,Queens,,,,,,,
11362,Bayside-Little Neck,Queens,,,,,,,
11363,Bayside-Little Neck,Queens,,,,,,,
11364,Bayside-Little Neck,Queens,,,,,,,
11374,Ridgewood-Forest Hills,Queens,,,,,,,
11375,Ridgewood-Forest Hills,Queens,,,,,,,
11379,Ridgewood-Forest Hills,Queens,,,,,,,
11385,Ridgewood-Forest Hills,Queens,,,,,,,
11365,Fresh Meadows,Queens,,,,,,,
11366,Fresh Meadows,Queens,,,,,,,
11367,Fresh Meadows,Queens,,,,,,,
11414,Southwest Queens,Queens,,,,,,,
11415,Southwest Queens,Queens,,,,,,,
11416,Southwest Queens,Queens,,,,,,,
11417,Southwest Queens,Queens,,,,,,,
11418,Southwest Queens,Queens,,,,,,,
11419,Southwest Queens,Queens,,,,,,,
11420,Southwest Queens,Queens,,,,,,,
11421,Southwest Queens,Queens,,,,,,,
11412,Jamaica,Queens,,,,,,,
11423,Jamaica,Queens,,,,,,,
11432,Jamaica,Queens,,,,,,,
11433,Jamaica,Queens,,,,,,,
11434,Jamaica,Queens,,,,,,,
11435,Jamaica,Queens,,,,,,,
11436,Jamaica,Queens,,,,,,,
11004,Southeast Queens,Queens,,,,,,,
11005,Southeast Queens,Queens,,,,,,,
11411,Southeast Queens,Queens,,,,,,,
11413,Southeast Queens,Queens,,,,,,,
11422,Southeast Queens,Queens,,,,,,,
11426,Southeast Queens,Queens,,,,,,,
11427,Southeast Queens,Queens,,,,,,,
11428,Southeast Queens,Queens,,,,,,,
11429,Southeast Queens,Queens,,,,,,,
11691,Rockaway,Queens,,,,,,,
11692,Rockaway,Queens,,,,,,,
11693,Rockaway,Queens,,,,,,,
11694,Rockaway,Queens,,,,,,,
11695,Rockaway,Queens,,,,,,,
11697,Rockaway,Queens,,,,,,,
10302,Port Richmond,Staten Island,,,,,,,
10303,Port Richmond,Staten Island,,,,,,,
10310,Port Richmond,Staten Island,,,,,,,
10301,Stapleton-St. George,Staten Island,,,,,,,
10304,Stapleton-St. George,Staten Island,,,,,,,
10305,Stapleton-St. George,Staten Island,,,,,,,
10314,Willowbrook,Staten Island,,,,,,,
10306,Tottenville-South Beach,Staten Island,,,,,,,
10307,Tottenville-South Beach,Staten Island,,,,,,,
10308,Tottenville-South Beach,Staten Island,,,,,,,
10309,Tottenville-South Beach,Staten Island,,,,,,,
10312,Tottenville-South Beach,Staten Island,,,,,,,
